都道府県,性別,平均寿命,健康寿命,年少人口,老年人口,共働き,気温,湿度,降水量,雪日数,県所得,財政力指数,学歴大学,１次産業就業,２次産業就業,３次産業就業,完全失業率,図書館数,ボランティア活動,スポーツの行動者率,旅行・行楽行動者率,持ち家,公園数,病院数,医師数,交通事故件数,スマートフォン,喫煙率,毎日酒を飲む割合,軽く汗をかく運動,糖尿病,食塩摂取量,BMI,歩数,血圧薬の使用,ジニ係数,地域スポーツクラブ育成率,老人クラブ入会率,健康・医療サービス活動,まちづくり活動,う蝕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡県,男,79.95,79.07,13,27.8,30.15,17.2,69,"2,805",4,"3,326",0.691,15.3,4.1,32.8,60.5,5.8,25.6,28.5,63.3,71,67.7,89.25,4.1,193.9,878.1,"1,070",33.6,0.372,0.32,5.6,11.4,23.4,7755.6,0.244966732,0.341,74.30%,0.102025181,3.6,15.1,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛知県,男,79.71,79.11,13.8,23.8,26.71,16.6,67,"1,803",15,"3,579",0.921,18.7,2.2,31.4,60,5.1,12.7,23.1,65.1,77.6,58.7,152.01,3.8,202.1,592.9,"1,216",33.7,0.388,0.305,4.3,10.8,23.5,7923.8,0.246081308,0.35,94.40%,0.153791807,3.4,11.1,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三重県,男,79.68,78.58,13,27.9,29.21,16.6,69,"1,979",19,"3,166",0.561,14.3,3.7,31.1,60,5.1,21.7,26.7,62.1,73.3,73.2,130.61,4.9,207.3,394.8,"1,121",31.6,0.401,0.293,6.5,11.1,22.8,7383.4,0.247131723,0.332,96.60%,0.242112352,2.1,18,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滋賀県,男,80.58,79.47,14.5,24.2,29.08,15.5,73,"1,784",36,"3,273",0.529,18,2.8,32.7,59.4,5.1,35.4,32.6,67.9,79,72.6,45.93,3.6,211.7,416.1,"1,281",32.7,0.43,0.298,4.4,11.4,23.4,8469.7,0.241791507,0.333,89.50%,0.23173247,5,21.9,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京都府,男,80.21,79.08,12.3,27.5,22.49,16.6,67,"2,043",26,"2,974",0.553,20.1,2.1,21.9,67.2,6.2,26.2,23.2,63.3,74.1,60.8,197.98,6.2,307.9,357.3,"1,208",29.5,0.425,0.312,4,10.7,23.4,7580.7,0.233202452,0.362,73.10%,0.078911252,3.7,11.5,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府,男,78.99,78.01,12.5,26.1,19.08,17.2,66,"1,649",17,"2,995",0.738,17.8,0.5,22.7,68.7,8,16.3,20.6,62.9,73.5,54.2,472.19,5.6,261.8,459.4,"1,171",33.1,0.439,0.319,6,10.2,23.1,8098.3,0.244153198,0.372,65.10%,0.095287387,2.6,7.5,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兵庫県,男,79.59,78.96,12.9,27.1,22.74,17.3,65,"1,578",20,"2,816",0.604,20.2,2,24.7,67.5,6.5,19.3,25.7,62.6,75.9,63.6,209.36,5.8,232.1,515.7,"1,104",31.2,0.443,0.33,6,11,23.8,8858.8,0.236310033,0.346,100.00%,0.158902706,2.9,12.8,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奈良県,男,80.14,79.15,12.5,28.7,22.98,15.5,76,"1,512",24,"2,530",0.401,22.3,2.6,23.1,70.2,7.4,23.6,27.7,64.5,76.8,73.8,274.41,5.3,225.7,372.2,"1,230",28.2,0.418,0.33,3.6,10.8,23.4,7648.5,0.237635093,0.333,94.90%,0.208575783,3.8,14.5,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和歌山県,男,79.07,77.99,12.1,30.9,25.57,17.2,69,"1,538",19,"2,816",0.307,13,9.3,21.7,66,6.7,30.2,24.2,56.9,66,74.8,25.31,8,277.4,363,"1,100",32.1,0.461,0.317,4.9,10.2,23.3,6675,0.268008412,0.374,86.70%,0.23596064,4.1,12.9,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥取県,男,79.01,77.79,12.9,29.7,31.98,15.4,74,"1,750",56,"2,337",0.243,13,9.3,21.8,63.4,5.9,51.3,33.9,58.5,68.4,69.8,34.16,7,289.5,183.6,944,33.2,0.452,0.279,9.3,10.7,23.2,6784.8,0.220206982,0.364,84.20%,0.191568262,3.4,21.3,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
